"해당 자료는 2022년 01월 03일 추출한 자료입니다. K-apt 시스템은 실시간으로 수정, 변경이 가능한 시스템으로 기존 데이터가 수정 될 수 있으며, 엑셀자료는 단순 참조자료로 활용하여 주시기 바랍니다. 현 시점 정확한 자료는 제공되고 있는 OPENAPI를 참조하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
시도,시군구,읍면,동리,단지코드,단지명,연면적,건축물대장연면적,관리비부과면적,주거전용면적,동수,세대수,전용면적(40이하),전용면적(40초과60이하),전용면적(60초과85이하),전용면적(85초과105이하),전용면적(105초과125이하),전용면적(125초과)
서울특별시,강서구,,마곡동,A15721003,마곡신안,"27,840","22,924","24,079","18,770",3,253,0,135,88,1,29,0
경상북도,포항북구,,우현동,A79181405,우현3차신동아파밀리에,"59,662","48,084","47,520","36,156",5,356,0,0,206,0,145,5
경기도,수원권선구,,금곡동,A44184103,금곡일신건영,"31,094","22,591","22,591","18,333",2,237,0,72,165,0,0,0
전라남도,순천시,,매곡동,A54007001,삼풍그린2차,"19,247","17,762","18,940","15,632",2,182,0,0,169,1,0,12
서울특별시,영등포구,,당산동,A15081001,래미안당산1차아파트,"43,332","28,639","37,753","28,639",4,348,0,128,144,0,76,0
전라남도,순천시,서면,선평리,A54081302,선평배들마을아파트(주공1차),"69,512","68,132","69,131","49,993",9,900,0,900,0,0,0,0
전라북도,익산시,,어양동,A57021007,어양쌍용,"51,074","43,652","37,646","37,645",16,810,400,410,0,0,0,0
충청남도,논산시,연무읍,안심리,A32083802,논산 월야아파트,"21,904","19,265","21,085","14,892",4,276,0,276,0,0,0,0
충청북도,청주서원구,,분평동,A36182216,분평현대대우아파트,"180,871","148,983","148,011","123,130",12,"1,179",0,0,485,434,0,260
경기도,수원권선구,,서둔동,A44175303,화서동남,"27,636","21,064","27,636","18,920",7,380,0,380,0,0,0,0
충청남도,천안서북구,,쌍용동,A33175905,일성3차능수,"50,188","44,432","48,453","36,209",6,521,0,317,204,0,0,0
부산광역시,금정구,,구서동,A60971102,구서협성엠파이어,"52,644","46,717","33,776","25,404",4,299,0,0,299,0,0,0
경상남도,양산시,,삼호동,A62683704,서창해인그린빌아파트,"86,675","80,009","79,339","64,367",12,800,0,0,800,0,0,0
부산광역시,사상구,,학장동,A61777409,구덕대림,"79,198","76,532","76,463","61,855",8,825,0,195,630,0,0,0
전라북도,순창군,순창읍,교성리,A59580201,순창 경천주공,"37,918","37,202","37,778","27,339",6,494,0,494,0,0,0,0
경기도,안산상록구,,본오동,A42672901,상록수한양,"223,796","199,090","199,093","160,172",35,"2,222",180,780,990,0,136,136
인천광역시,부평구,,삼산동,A40391301,삼산3휴먼시아(임대),"77,530","57,770","77,365","38,737",11,870,340,530,0,0,0,0
강원도,춘천시,,근화동,A20093103,신성근화미소지움,"159,867","159,867","118,865","89,043",12,"1,092",0,520,320,0,146,106
충청북도,충주시,,연수동,A38075415,"연수두진1,2차아파트","61,074","54,926","56,996","43,209",4,735,250,338,87,0,0,60
대전광역시,동구,,가오동,A30005006,은어송마을3단지,"127,525","91,666","91,667","65,785",12,696,0,0,414,219,0,63
충청북도,청주흥덕구,,가경동,A36173419,가경형석1차아파트,"59,253","50,523","50,523","39,585",5,600,0,300,300,0,0,0
서울특별시,광진구,,자양동,A14319301,자양현대6차,"23,330","18,062","18,061","13,466",1,178,0,112,28,0,38,0
전라북도,전주완산구,,중화산동2가,A56076711,중화산풍림아이원,"97,646","80,200","78,813","61,613",11,498,0,0,78,0,109,311
